Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,28,Diode,
"J2, J4, J5, J6",SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm,4,Conn_01x04,
J3,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
"R1, R2, R3, R4",Resistor,4,4.7k,
S1,MX_PCB_4.00u,1,Keyswitch,
"S10, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S24, S25, S26, S27, S28, S3, S4, S5, S7, S8, S9",MX_PCB_1.00u,23,Keyswitch,
"S11, S22, S6",MX_PCB_2.00u_90deg,3,Keyswitch,
S23,MX_PCB_6.00u,1,Keyswitch,
"SW1, SW2",SW_Push_1P1T_NO_CK_KSC6xxJ,2,SW_SPST,
"U1, U3",Elite-C,2,Elite-C,
"U2, U4",TRRS_PJ-320A,2,TRRS,
